name,specialty,city,comment,rating,Label,probability
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,4,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,ی خانوم دکتر واقعی و تموم عیار؛ موفق باشن🙏,5,مثبت,97.3123
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,معطلی،زیاده,5,خنثی,69.4775
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,1,مثبت,93.2885
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,3,مثبت,96.7310
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,1,مثبت,93.2885
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,3,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,4,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی خیلی خوش بر خورد و مودب و دقیق در انجام کارشون,5,مثبت,97.7925
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خانم دکتر بسیار خوشرو، خوش اخلاق، صبور و کار بلد هستند خدا همچین پزشکانی رو برای مردم حفظ کنه,5,مثبت,96.1384
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,5,مثبت,93.2885
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,4,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,3,مثبت,84.1696
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,3,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,پزشک خوش برخورد و عالی,4.8,مثبت,95.9763
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,5,مثبت,93.2885
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بودن من ساعت نه نوبت اینترنتی داشتم وساعت نه ونیم کارم تمام شد ،اخلاق ودقتم عالی عالی,5,مثبت,97.2004
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خانم دکتر بسیار خوش اخلاق هستند,4.5,مثبت,89.5231
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,بسیار عالی و خیر مند خدا حفظشون کنه عالی,5,مثبت,96.6761
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,دکتر ی هستن با دقت بالا بسیار مهربان,5,مثبت,96.5036
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,4,مثبت,76.9614
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
کلینیک دکتر سعیده طباطبایی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,من هر دفعه ک رفتم بیش از ۵ساعت معطل شدم .مهارت پزشک عالی هستش ولی واسه منه باردار زمان خیلی مهم هستش.اگر میخواین اینجا سونوگرافی برین یا باید اشنای دکتر و منشی باشین یا واقعن صبور باشین,2.8,خنثی,74.5909
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,خیلی شلوغ بود. با توجه به شیوع آنفولانزا اصلا پیشنهاد نمیکنم اینجا رو. ی تعدادادم منتظر بودند. خانم منشی هم مدام زنگ میزد آدم اضافه میشد.افتضاح,1,منفی,95.7989
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,نوبت نمیشه گرفت.وقتی هم میده باید دو سه ساعت بشینید,1,منفی,71.5025
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,حداقل زمان انتظار ۳ تا ۴ ساعت بسیار بی نظم,1,منفی,88.5561
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,سلام دوستان کسی نوبت اینترنتی میگیرد یک روز قبلش حتما با مطب اوکی کنید ک داخل دفترشون بنویس ثانیا نوبت اونجا خیلی بی نظم حتما تاکید کنید ک سر چه تایمی اونجا باشید نوبت ما ساعت ۸ بود ساعت ۱۲ شب رفتم پیش دکتر یا علی,5,خنثی,53.4469
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,سلام کار دکتر بسیار خوب بود ولی متاسفانه پارتی بازی یا همان مریض ها نور چشمی زیاد می یامد اگر دکتر محترم می خواست کار این افرارد را بندازه بهترین کار این بود که منشی طوری مریض سفارشی رو داخل بفرسته که مریض ها دیگه ناراحت نشن,5,خنثی,58.6950
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,5,مثبت,93.2885
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,3,مثبت,96.7310
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,4,مثبت,93.2885
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,5,مثبت,93.2885
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,4,مثبت,84.1696
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,3,مثبت,84.1696
دکتر رادیولوژی و سونوگرافی دکتر کریمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,سلام آقای دکتر صنعتی بسیار دکتر با تجربه و خوش اخلاق هستند,4.6,مثبت,96.3130
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,برخورد بسیار عالیی ، با تجربه,5,مثبت,96.8798
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,من سال ۹۴مراجعه کردم واقعا عالی بود و همه چیز درست تشخیص داده شد الان هم برای نوبت سونو فرزند دومم میخوام اقدام کنم,5,مثبت,98.2689
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,بسیار خوش اخلاق و عالی بودن,5,مثبت,97.6843
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,دکتر بسیار خوش اخلاق وکاربلدی هستن,5,مثبت,94.8017
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,3,مثبت,84.1696
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,3,مثبت,93.2885
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,4,مثبت,96.7310
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,4,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,واقعا کارشون حرف نداشت بهترین دکتر یزد هستن,5,مثبت,98.3582
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,یک خاطره خوب تولد از پسردار شدنمون پبش ایشان رقم خورد,5,مثبت,95.8350
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر مهدی صنعتی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,5,مثبت,93.2885
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,نوبت دهی دکتر حجت خیلی خوب هستش،ولی نحوه برخورد با بیمار رو اصلا بلد نیستن،من برای صدای قلب جنین رفته بودم ،اولش فقط یه سوال پرسیدم که متاسفانه به من گفتم خانم لطفا حرف نزنید و من خیلی ناراحت شدم ،به نظر من نحوه ی برخورد با مریض خیلی مهمه ،من که دیگه مطب ایشون نمیرم,3.6,خنثی,69.7514
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,دکتر خیلی عالی هستن منکه اولین بارمه میرم ولی تعریفش خیلی شنیدم میگن خیلی خوش برخورده منم انشاالله نوبتم دوشنبه 16 مرداد هست,5,مثبت,94.5185
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,دکتر بسیار باسواد و دقیق هستن، خوش‌برخورد و با حوصله هستن,5,مثبت,95.4798
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,عالی خوش برخوردوبادقت,5,مثبت,97.2145
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,آقتی دکتر هاشم حجت عالی هستند خوش برخوردوباحوصله و باتجربه و عالی درکل از مراجعه به مطب ایشون همیشه راضی بودم و هستم حدود ۷ سالی هست که سونوگرافیم رو میرم مطب ایشون عالی هستن و دکتر ی درجه یک 👍🏻,5,مثبت,98.0474
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,واقعا دکتربی نظیری هستن بسیارخوش برخورد باارایه توضیحات کامل بنده ایشونو توصیه میکنم .واقعادست مریزاد🙏👏👏👏,5,مثبت,98.4387
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,با صبر و حوصله هم تشخیصشونو انجام میدادند هم به تمامی سوالاتم پاسخ دادن بخاطر استرسم اجازه اومدن همسرم به اتاق رو دادن واقعا از درکشون ممنونم,5,مثبت,97.7500
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,بر خورد اقای دکتر و خانم منشی به شدت عالی بود و من راضی بودم و به شدت مطب تمیز و محیط خوبی داشتن,5,مثبت,96.2989
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,دکترعالی خوب متین و دارای اطلاعات بالا هستند و بسیار تشخیص درست وعالی دارند دیگه دکتری که پرفسور افلاطونیان قبولشون دارندعالیه,5,مثبت,97.1114
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر هاشم حجت,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,5,مثبت,93.2885
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,اول کامنتای بقیه رو خوندم و از اینکه همه تو کامنتا میگفتن عالیه اخلاقشون و ...تصمیم گرفتم برم پیششون جوری تو دوقیقه منو ناامیدکردن که نمیدونم چجوری پاشدم از روتخت میتونست قطعی جوابی که دوهفته دیگه من زمان داشتم ومن زودمراجع کرده بودم رو اینقدر قاطعانه نگه نه هیچوقت نباید به مریضتون اینقدر تند یه خبر رو بدین ویه درصد احتمال مثبت بودن رو ازش دریغ کنید,1.6,خنثی,42.4601
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,آقای دکتر از همه لحاظ اخلاق و تشخیص صبر حوصله عالی عالی هستن,5,مثبت,96.7948
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,بسیار خوش اخلاق، ماهر و کاربلد هستن,5,مثبت,93.3732
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,دکترمهربون وخوش رو وباتجربه,5,مثبت,96.0415
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,دکتر وفایی دکتر فوق العاده خوش برخورد و ماهری ی هستند,5,مثبت,94.6886
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,با سلام.دکتر وفایی بسیار با اخلاق و دلسوز هستند.کاملا راضی هستم. ان شاءالله همیشه سلامت و موفق باشند.,5,مثبت,95.9401
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,آقای دکتر وفایی واقعا عالی هستن در کارشون خوش اخلاق و خوش رو,5,مثبت,97.1016
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,واقعا دکتر عالی و خوش اخلاق و با تجربه ای هستن.,5,مثبت,97.7388
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,عالی هستن اخلاقشونو ک دیگه نگم خیییلی خوش اخلاقه,5,مثبت,95.5782
دکتر محمد وفایی,تخصص تصویربرداری (رادیولوژی),برازجان,کارشون بسیار دقیق هست واقای دکتر صبورانه تمام توضیحات لازم رو بیان می کنند,5,مثبت,97.4806
